15:26:37.696328045 execve runc:[1:CHILD] runc
15:26:37.698414672 execve docker-entrypoi /usr/bin/env
15:26:37.699903220 execve docker-entrypoi /usr/bin/env
15:26:37.699994046 execve docker-entrypoi /usr/bin/env
15:26:37.700018489 execve docker-entrypoi /usr/bin/env
15:26:37.700083491 execve docker-entrypoi /usr/bin/env
15:26:37.700103407 execve docker-entrypoi /usr/bin/env
15:26:37.700156945 execve docker-entrypoi /usr/bin/env
15:26:37.700174340 execve docker-entrypoi /usr/bin/env
15:26:37.700229236 execve docker-entrypoi /usr/bin/env
15:26:37.700248504 execve docker-entrypoi /usr/bin/env
15:26:37.700310202 execve docker-entrypoi /usr/bin/env
15:26:37.700329047 execve docker-entrypoi /usr/bin/env
15:26:37.700513431 execve bash bash
15:26:37.705724602 execve bash bash
15:26:37.706029879 execve id id
15:26:37.708684107 execve bash bash
15:26:37.708919549 execve find find
15:26:37.724616663 execve bash bash
15:26:37.724933390 execve gosu gosu
15:26:37.773464687 execve gosu gosu
15:26:37.775239138 execve docker-entrypoi /usr/bin/env
15:26:37.776280761 execve docker-entrypoi /usr/bin/env
15:26:37.776357936 execve docker-entrypoi /usr/bin/env
15:26:37.776379036 execve docker-entrypoi /usr/bin/env
15:26:37.776435525 execve docker-entrypoi /usr/bin/env
15:26:37.776452990 execve docker-entrypoi /usr/bin/env
15:26:37.776502862 execve docker-entrypoi /usr/bin/env
15:26:37.776519402 execve docker-entrypoi /usr/bin/env
15:26:37.776567297 execve docker-entrypoi /usr/bin/env
15:26:37.776583298 execve docker-entrypoi /usr/bin/env
15:26:37.776631296 execve docker-entrypoi /usr/bin/env
15:26:37.776647032 execve docker-entrypoi /usr/bin/env
15:26:37.777112867 execve bash bash
15:26:37.781903626 execve bash bash
15:26:37.782096044 execve id id
15:26:37.787224389 execve bash bash
15:26:37.787478808 execve awk awk
15:26:37.788786913 execve bash bash
15:26:37.789224864 execve ip ip
15:26:37.799293119 execve bash bash
15:26:37.799953201 execve mktemp mktemp
15:26:37.803444057 execve bash bash
15:26:37.803690785 execve sed sed
15:26:37.809172063 execve bash bash
15:26:37.809390873 execve cat cat
15:26:37.812044304 execve bash bash
15:26:37.812412607 execve rm rm
15:26:37.814907094 execve bash bash
15:26:37.815103216 execve mktemp mktemp
15:26:37.816896578 execve bash bash
15:26:37.817104254 execve sed sed
15:26:37.821348515 execve bash bash
15:26:37.821659367 execve cat cat
15:26:37.824150010 execve bash bash
15:26:37.824348355 execve rm rm
15:26:37.838839372 execve bash bash
15:26:37.839111116 execve mktemp mktemp
15:26:37.841511921 execve bash bash
15:26:37.841902257 execve sed sed
15:26:37.846606770 execve bash bash
15:26:37.846900889 execve cat cat
15:26:37.849241328 execve bash bash
15:26:37.849445016 execve rm rm
15:26:37.859951507 execve bash bash
15:26:37.860228438 execve mktemp mktemp
15:26:37.862390590 execve bash bash
15:26:37.862591884 execve sed sed
15:26:37.866893366 execve bash bash
15:26:37.867068095 execve cat cat
15:26:37.869361184 execve bash bash
15:26:37.869690879 execve rm rm
15:26:37.872733627 execve bash bash
15:26:37.873013967 execve mktemp mktemp
15:26:37.875376926 execve bash bash
15:26:37.875802564 execve sed sed
15:26:37.881022111 execve bash bash
15:26:37.881325539 execve cat cat
15:26:37.883419393 execve bash bash
15:26:37.883691644 execve rm rm
15:26:37.889390755 execve bash bash
15:26:37.889856279 execve cassandra /bin/sh
15:26:37.891547985 execve cassandra /bin/sh
15:26:37.891796256 execve dirname dirname
15:26:37.894408426 execve cassandra /bin/sh
15:26:37.894608215 execve uname uname
15:26:37.896533856 execve cassandra /bin/sh
15:26:37.896765218 execve java /opt/java/openjdk/bin/java
15:26:37.974463904 execve cassandra /bin/sh
15:26:37.974681645 execve cassandra /bin/sh
15:26:37.974831143 execve grep grep
15:26:37.974966828 execve cassandra /bin/sh
15:26:37.975027891 execve awk awk
15:26:37.975279393 execve cut cut
15:26:37.980600793 execve cassandra /bin/sh
15:26:37.980818436 execve cut cut
15:26:37.983406597 execve cassandra /bin/sh
15:26:37.983640936 execve grep grep
15:26:37.983712278 execve cassandra /bin/sh
15:26:37.983897055 execve awk awk
15:26:37.987191863 execve cassandra /bin/sh
15:26:37.987459566 execve awk awk
15:26:37.989988083 execve cassandra /bin/sh
