=== JNA Interface Mapping Hits ===
Format: callerSig | lib | symbol | apiPattern | interface | calleeSig | callerJar | calleeJar

<com.sun.jna.platform.linux.XAttrUtil: void setXAttr(java.lang.String,java.lang.String,byte[])> | <null:default-c-lib> | setxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int setxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: void fSetXAttr(int,java.lang.String,byte[])> | <null:default-c-lib> | fsetxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int fsetxattr(int,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: void fRemoveXAttr(int,java.lang.String)> | <null:default-c-lib> | fremovexattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int fremovexattr(int,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: com.sun.jna.Memory lGetXAttrAsMemory(java.lang.String,java.lang.String)> | <null:default-c-lib> | lgetxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t lgetxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: com.sun.jna.Memory lGetXAttrAsMemory(java.lang.String,java.lang.String)> | <null:default-c-lib> | lgetxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t lgetxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: com.sun.jna.Memory fGetXAttrAsMemory(int,java.lang.String)> | <null:default-c-lib> | fgetxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t fgetxattr(int,java.lang.String,com.sun.jna.Pointer,com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: com.sun.jna.Memory fGetXAttrAsMemory(int,java.lang.String)> | <null:default-c-lib> | fgetxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t fgetxattr(int,java.lang.String,com.sun.jna.Pointer,com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: byte[] getXAttrBytes(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t getxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: byte[] getXAttrBytes(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t getxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: void removeXAttr(java.lang.String,java.lang.String)> | <null:default-c-lib> | removexattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int removexattr(java.lang.String,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: java.util.Collection fListXAttr(int,java.lang.String)> | <null:default-c-lib> | flistxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t flistxattr(int,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: java.util.Collection fListXAttr(int,java.lang.String)> | <null:default-c-lib> | flistxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t flistxattr(int,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: com.sun.jna.Memory getXAttrAsMemory(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t getxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: com.sun.jna.Memory getXAttrAsMemory(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t getxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: void lRemoveXAttr(java.lang.String,java.lang.String)> | <null:default-c-lib> | lremovexattr | Native.load(Class) | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int lremovexattr(java.lang.String,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
