14:12:54.071395094 execve runc:[1:CHILD] runc
14:12:54.072802130 execve docker-entrypoi /bin/sh
14:12:54.072833239 execve docker-entrypoi /bin/sh
14:12:54.075878211 execve docker-entrypoi /bin/sh
14:12:54.075881705 execve docker-entrypoi /bin/sh
14:12:54.076108687 execve expr expr
14:12:54.076132065 execve expr expr
14:12:54.078652114 execve docker-entrypoi /bin/sh
14:12:54.078655802 execve docker-entrypoi /bin/sh
14:12:54.078894604 execve whoami whoami
14:12:54.078917838 execve whoami whoami
14:12:54.082153659 execve docker-entrypoi /bin/sh
14:12:54.082157050 execve docker-entrypoi /bin/sh
14:12:54.082340391 execve date date
14:12:54.082363098 execve date date
14:12:54.084437427 execve docker-entrypoi /bin/sh
14:12:54.084443402 execve docker-entrypoi /bin/sh
14:12:54.084863695 execve java /opt/java/openjdk/bin/java
14:12:54.084889748 execve java /opt/java/openjdk/bin/java
