=== FFI (Foreign Function & Memory API) Hits ===
Format: callerSig | lib | symbol | mechanism | jar

<org.apache.tomcat.util.openssl.openssl_h: int SSL_CONF_cmd_value_type(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CONF_cmd_value_type | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_set_verify_result(java.lang.foreign.MemorySegment,long)> | ssl | SSL_set_verify_result | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OPENSSL_sk_value(java.lang.foreign.MemorySegment,int)> | ssl | OPENSSL_sk_value | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_do_handshake(java.lang.foreign.MemorySegment)> | ssl | SSL_do_handshake | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_write(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,int)> | ssl | SSL_write | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int EVP_PKEY_get_base_id(java.lang.foreign.MemorySegment)> | ssl | EVP_PKEY_get_base_id | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void ERR_error_string_n(long,java.lang.foreign.MemorySegment,long)> | ssl | ERR_error_string_n | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void RAND_seed(java.lang.foreign.MemorySegment,int)> | ssl | RAND_seed | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment EVP_MD_get0_provider(java.lang.foreign.MemorySegment)> | ssl | EVP_MD_get0_provider | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_new(java.lang.foreign.MemorySegment)> | ssl | SSL_new | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment ASN1_STRING_get0_data(java.lang.foreign.MemorySegment)> | ssl | ASN1_STRING_get0_data | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int PKCS12_parse(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | PKCS12_parse | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_check_nonce(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | OCSP_check_nonce | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment TLS_server_method()> | ssl | TLS_server_method | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int BIO_read(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,int)> | ssl | BIO_read | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int BIO_free(java.lang.foreign.MemorySegment)> | ssl | BIO_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BN_get_rfc3526_prime_1536(java.lang.foreign.MemorySegment)> | ssl | BN_get_rfc3526_prime_1536 | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BN_get_rfc3526_prime_4096(java.lang.foreign.MemorySegment)> | ssl | BN_get_rfc3526_prime_4096 | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_CTX_set_tmp_dh_callback(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_set_tmp_dh_callback | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_set_bio(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_set_bio | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long SSL_CTX_get_timeout(java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_get_timeout | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CIPHER_get_auth_nid(java.lang.foreign.MemorySegment)> | ssl | SSL_CIPHER_get_auth_nid | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BN_get_rfc3526_prime_3072(java.lang.foreign.MemorySegment)> | ssl | BN_get_rfc3526_prime_3072 | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OCSP_response_get1_basic(java.lang.foreign.MemorySegment)> | ssl | OCSP_response_get1_basic | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_basic_verify(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,long)> | ssl | OCSP_basic_verify | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_renegotiate_pending(java.lang.foreign.MemorySegment)> | ssl | SSL_renegotiate_pending | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_CTX_get_cert_store(java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_get_cert_store | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CTX_set_session_id_context(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,int)> | ssl | SSL_CTX_set_session_id_context | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_check_validity(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,long,long)> | ssl | OCSP_check_validity | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_resp_find(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,int)> | ssl | OCSP_resp_find | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_CTX_get_client_CA_list(java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_get_client_CA_list | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_single_get0_status(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | OCSP_single_get0_status | downcallHandle | tomcat-coyote-ffm.jar
