14:52:56.641097303 execve runc:[1:CHILD] runc
14:52:56.642441822 execve catalina.sh /usr/bin/env
14:52:56.643168648 execve catalina.sh /usr/bin/env
14:52:56.643197839 execve catalina.sh /usr/bin/env
14:52:56.643212809 execve catalina.sh /usr/bin/env
14:52:56.643238396 execve catalina.sh /usr/bin/env
14:52:56.643249812 execve catalina.sh /usr/bin/env
14:52:56.643276665 execve catalina.sh /usr/bin/env
14:52:56.643287120 execve catalina.sh /usr/bin/env
14:52:56.643304638 execve catalina.sh /usr/bin/env
14:52:56.643314974 execve catalina.sh /usr/bin/env
14:52:56.643333381 execve catalina.sh /usr/bin/env
14:52:56.643343741 execve catalina.sh /usr/bin/env
14:52:56.643694443 execve bash bash
14:52:56.646944034 execve bash bash
14:52:56.647404801 execve uname uname
14:52:56.648784026 execve bash bash
14:52:56.649056993 execve dirname dirname
14:52:56.657144993 execve bash bash
14:52:56.657487077 execve java /usr/java/openjdk-14/bin/java
