=== Skipped Methods (VerifyError/Exceptions during body building) ===
Format: methodSig | exceptionType | message

<org.apache.catalina.ant.AbstractCatalinaCommandTask: java.lang.StringBuilder createQueryString(java.lang.String)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.AbstractCatalinaTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.AbstractCatalinaTask: void execute(java.lang.String,java.io.InputStream,java.lang.String,long)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.BaseRedirectorHelperTask: void addConfiguredRedirector(org.apache.tools.ant.types.RedirectorElement)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.DeployTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.JKStatusUpdateTask: void checkParameter()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.JKStatusUpdateTask: java.lang.StringBuilder createLink()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.JMXGetTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.JMXQueryTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.JMXSetTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.ResourcesTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.ValidatorTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorCondition: boolean eval()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorCreateTask: java.lang.String jmxExecute(javax.management.MBeanServerConnection)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorEqualsCondition: boolean eval()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorGetTask: java.lang.String jmxExecute(javax.management.MBeanServerConnection)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorInvokeTask: java.lang.String jmxExecute(javax.management.MBeanServerConnection)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorQueryTask: java.lang.String jmxExecute(javax.management.MBeanServerConnection)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorSetTask: java.lang.String jmxExecute(javax.management.MBeanServerConnection)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorTask: java.lang.Object convertStringToType(java.lang.String,java.lang.String)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorTask: java.lang.String jmxExecute(javax.management.MBeanServerConnection)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.ant.jmx.JMXAccessorUnregisterTask: java.lang.String jmxExecute(javax.management.MBeanServerConnection)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.core.ApplicationDispatcher: jakarta.servlet.ServletRequest wrapRequest(org.apache.catalina.core.ApplicationDispatcher$State)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.core.ApplicationDispatcher: jakarta.servlet.ServletResponse wrapResponse(org.apache.catalina.core.ApplicationDispatcher$State)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.core.NamingContextListener: void addResource(org.apache.tomcat.util.descriptor.web.ContextResource)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.core.NamingContextListener: void addService(org.apache.tomcat.util.descriptor.web.ContextService)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.core.NamingContextListener: void addEnvironment(org.apache.tomcat.util.descriptor.web.ContextEnvironment)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.core.NamingContextListener: void addEjb(org.apache.tomcat.util.descriptor.web.ContextEjb)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.core.NamingContextListener: void addResourceEnvRef(org.apache.tomcat.util.descriptor.web.ContextResourceEnvRef)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.filters.RestCsrfPreventionFilter: void doFilter(jakarta.servlet.ServletRequest,jakarta.servlet.ServletResponse,jakarta.servlet.FilterChain)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.servlets.DefaultServlet: void doPut(jakarta.servlet.http.HttpServletRequest,jakarta.servlet.http.HttpServletResponse)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.startup.ContextConfig: void processClasses(org.apache.tomcat.util.descriptor.web.WebXml,java.util.Set)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.valves.rewrite.Substitution: org.apache.catalina.valves.rewrite.Substitution$SubstitutionElement[] parseSubstitution(java.lang.String,java.util.Map)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
