10:48:06.213210791 execve runc:[1:CHILD] runc
10:48:06.214596894 execve catalina.sh /usr/bin/env
10:48:06.214644365 execve catalina.sh /usr/bin/env
10:48:06.216515852 execve catalina.sh /usr/bin/env
10:48:06.216521436 execve catalina.sh /usr/bin/env
10:48:06.216569060 execve catalina.sh /usr/bin/env
10:48:06.216603109 execve catalina.sh /usr/bin/env
10:48:06.216617727 execve catalina.sh /usr/bin/env
10:48:06.216622739 execve catalina.sh /usr/bin/env
10:48:06.216689162 execve catalina.sh /usr/bin/env
10:48:06.216720225 execve catalina.sh /usr/bin/env
10:48:06.216734149 execve catalina.sh /usr/bin/env
10:48:06.216739312 execve catalina.sh /usr/bin/env
10:48:06.216801039 execve catalina.sh /usr/bin/env
10:48:06.216831438 execve catalina.sh /usr/bin/env
10:48:06.216845284 execve catalina.sh /usr/bin/env
10:48:06.216850079 execve catalina.sh /usr/bin/env
10:48:06.216922546 execve catalina.sh /usr/bin/env
10:48:06.216952924 execve catalina.sh /usr/bin/env
10:48:06.216966954 execve catalina.sh /usr/bin/env
10:48:06.216971742 execve catalina.sh /usr/bin/env
10:48:06.217023592 execve catalina.sh /usr/bin/env
10:48:06.217052038 execve catalina.sh /usr/bin/env
10:48:06.217065387 execve catalina.sh /usr/bin/env
10:48:06.217070097 execve catalina.sh /usr/bin/env
10:48:06.217610363 execve bash bash
10:48:06.217655081 execve bash bash
10:48:06.226606800 execve bash bash
10:48:06.226614509 execve bash bash
10:48:06.227106276 execve uname uname
10:48:06.227166210 execve uname uname
10:48:06.230265530 execve bash bash
10:48:06.230270055 execve bash bash
10:48:06.230589269 execve dirname dirname
10:48:06.230634136 execve dirname dirname
10:48:06.236897700 execve bash bash
10:48:06.236904358 execve bash bash
10:48:06.237396234 execve java /opt/java/openjdk/bin/java
10:48:06.237429213 execve java /opt/java/openjdk/bin/java
